track_id,track_name,artist_id,genre,duration_ms
T1 ,Run ,A1, Pop ,210000
t2,Glow,A2,Indie,185000
t3,Midnight Drive,a1,Pop,232000
T4,Sandstorm,A3,EDM,198000
t5 ,Northbound,A4,,205000
t6,Signal,A2,Indie,176000
t7,Night,A14,,267584
t8,Waves,A12,Pop,177324
t9,Sunrise,A16,Indie,255282
t10,Breeze,A12,Pop,166230
t11,Heat,A5,EDM,254693
t12,Frost,A16,Pop,202323
t13,Flash,A4,Pop,247420
t14,Comet,A5,Pop,269640
t15,Orbit,A16,Indie,189950
t16,Rhythm,A11,Rock,160082
t17,Orbit,A18,EDM,155175
t18,Phoenix,A18,EDM,180654
t19,Heat,A17,Rock,226912
t20,Cascade,A8,Alternative,221211
t21,Night,A10,EDM,160590
t22,Gravity,A12,Alternative,247801
t23,Horizon,A9,EDM,155798
t24,Vortex,A8,Rock,266054
t25,Frost,A13,Rock,194955
t26,Phoenix,A12,Indie,272286
t27,Nova,A20,EDM,208947
t28,Flame,A19,Indie,153428
t29,Breeze,A6,Pop,181115
t30,Shadow,A13,Electronic,262389
t31,Nova,A11,EDM,238616
t32,Flame,A2,Electronic,247816
t33,Heat,A20,Pop,245160
t34,Flash,A4,Rock,232963
t35,Aurora,A14,Pop,231531
t36,Breeze,A13,Pop,178385
t37,Voltage,A19,Indie,187336
t38,Breeze,A17,,267616
t39,Stellar,A16,Indie,205587
t40,Neon,A5,,262752
t41,Light,A18,Electronic,207557
t42,Blaze,A1,Alternative,200065
t43,Eclipse,A4,Indie,164326
t44,Dream,A14,Rock,214735
t45,Zenith,A20,Electronic,184814
t46,Lumina,A5,Electronic,206122
t47,Aurora,A20,Electronic,230312
t48,Meteor,A16,Electronic,160275
t49,Crimson,A20,Alternative,165114
t50,Cascade,A13,Pop,208688
t51,Stellar,A17,EDM,189484
t52,Spark,A1,Pop,277744
t53,Midnight,A15,EDM,267268
t54,Silver,A2,Alternative,237401
t55,Solstice,A9,Rock,273768
t56,Cosmos,A16,EDM,252067
t57,Dream,A6,,256892
t58,Stellar,A14,Alternative,170529
t59,Gravity,A8,Electronic,268137
t60,Nexus,A13,,200879
