play_id,track_id,user_id,timestamp,play_count
p001,t001,u01,2026-01-10T09:03:00,3
p002,t002,u02,2026-01-10T10:15:00,1
p003,t001,u03,2026-01-11T08:21:00,2
p004,t003,u01,2026-01-11T12:05:00,5
p005,t004,u04,2026-01-12T07:44:00,1
p006,t001,u05,2026-01-12T09:30:00,4
p007,t005,u02,2026-01-13T11:00:00,2
p008,t006,u06,2026-01-13T14:22:00,3
p009,t002,u07,2026-01-14T08:10:00,2
p010,t007,u01,2026-01-14T10:45:00,6
p011,t003,u08,2026-01-15T09:05:00,1
p012,t008,u09,2026-01-15T13:30:00,2
p013,t001,u10,2026-01-16T08:00:00,3
p014,t009,u03,2026-01-16T11:15:00,1
p015,t007,u04,2026-01-17T10:00:00,4
p016,t010,u05,2026-01-17T14:55:00,2
p017,t011,u06,2026-01-18T09:20:00,3
p018,t004,u07,2026-01-18T12:00:00,5
p019,t012,u08,2026-01-19T08:30:00,1
p020,t005,u09,2026-01-19T10:10:00,3
p021,t006,u10,2026-01-20T09:00:00,2
p022,t007,u02,2026-01-20T11:30:00,7
p023,t002,u03,2026-01-21T08:45:00,1
p024,t011,u04,2026-01-21T13:00:00,2
