artist_id,artist_name,country,year_formed
A1,Luna Eclipse & Nova Sound,,2020
A2,The Wanderers feat. Echo Chamber,Netherlands,2013
A3,Electric Dreams & Shadow Collective,Germany,2020
A4,Neon Pulse,Japan,
A5,Shadow Collective & Phoenix Rising,France,2006
A6,Crimson Wave,Canada,2024
A7,Digital Horizon,Canada,2020
A8,Aurora Sounds,UK,2018
A9,The Midnight Crew,Sweden,2013
A10,Stellar Vibe,Canada,2006
A11,Echo Chamber,Netherlands,2015
A12,Phoenix Rising,Germany,2007
A13,Crystal Method,Canada,2014
A14,Urban Legends,Sweden,2005
A15,Gravity Well,Netherlands,2020
A16,Nova Sound,Japan,2023
A17,The Architects,,2025
A18,Velocity Gang,Canada,2013
A19,Storm Chasers,Germany,2017
A20,Binary Beats,USA,2016
