play_id,track_id,user_id,timestamp,play_count
p1,t1,u1,2026-01-10T09:03:00,3
p2,t2,u2,2026-01-10T10:15:00,1
p3,t1,u3,2026-01-11T08:21:00,2
p4,t3,u1,2026-01-11T12:05:00,5
p5,t4,u4,2026-01-11T18:33:00,1
p6,t5,u2,2026-01-12T07:45:00,4
p7,t6,u3,2026-01-12T11:22:00,2
p8,t2,u1,2026-01-12T21:55:00,3
p9,t22,u17,2026-01-16T21:00:00,1
p10,t38,u11,2026-01-11T20:00:00,4
p11,t21,u12,2026-01-17T23:00:00,5
p12,t30,u6,2026-01-17T18:00:00,2
p13,t24,u13,2026-01-12T05:00:00,4
p14,t43,u28,2026-01-15T06:00:00,2
p15,t18,u17,2026-01-20T08:00:00,3
p16,t55,u24,2026-01-14T12:00:00,4
p17,t59,u6,2026-01-16T10:00:00,4
p18,t50,u22,2026-01-11T08:00:00,2
p19,t18,u13,2026-01-19T00:00:00,3
p20,t60,u14,2026-01-12T10:00:00,3
p21,t26,u27,2026-01-10T10:00:00,5
p22,t55,u24,2026-01-18T01:00:00,2
p23,T4,u9,2026-01-16T15:00:00,2
p24,t60,u15,2026-01-14T03:00:00,3
p25,t23,u29,2026-01-16T16:00:00,1
p26,t13,u17,2026-01-12T14:00:00,3
p27,t50,u27,2026-01-11T05:00:00,4
p28,t37,u3,2026-01-13T10:00:00,1
p29,t9,u18,2026-01-15T22:00:00,2
p30,t57,u9,2026-01-17T04:00:00,5
p31,t53,u16,2026-01-16T05:00:00,5
p32,t39,u28,2026-01-19T01:00:00,3
p33,t10,u20,2026-01-13T00:00:00,4
p34,t2,u5,2026-01-14T20:00:00,2
p35,t27,u13,2026-01-14T13:00:00,1
p36,t29,u10,2026-01-10T20:00:00,1
p37,t30,u22,2026-01-18T12:00:00,4
p38,t20,u24,2026-01-14T03:00:00,4
p39,t54,u1,2026-01-10T19:00:00,3
p40,t22,u24,2026-01-15T17:00:00,5
p41,t48,u25,2026-01-10T13:00:00,3
p42,t25,u29,2026-01-12T12:00:00,3
p43,t10,u26,2026-01-17T00:00:00,5
p44,t10,u19,2026-01-11T06:00:00,5
p45,t2,u24,2026-01-11T08:00:00,5
p46,t48,u30,2026-01-18T19:00:00,3
p47,t44,u27,2026-01-15T18:00:00,2
p48,t42,u23,2026-01-16T08:00:00,1
p49,t41,u5,2026-01-14T21:00:00,5
p50,t23,u6,2026-01-18T06:00:00,5
p51,t12,u25,2026-01-14T13:00:00,2
p52,t59,u21,2026-01-16T08:00:00,2
p53,t37,u23,2026-01-17T22:00:00,3
p54,t33,u30,2026-01-18T15:00:00,5
p55,t47,u6,2026-01-20T02:00:00,1
p56,t5 ,u25,2026-01-18T04:00:00,4
p57,t58,u26,2026-01-14T08:00:00,2
p58,t46,u22,2026-01-15T15:00:00,2
p59,t37,u13,2026-01-12T23:00:00,4
p60,t5 ,u6,2026-01-13T19:00:00,2
p61,t3,u19,2026-01-12T18:00:00,1
p62,t43,u22,2026-01-15T02:00:00,1
p63,t12,u21,2026-01-11T01:00:00,2
p64,T4,u19,2026-01-11T10:00:00,5
p65,t45,u23,2026-01-11T16:00:00,2
p66,t57,u3,2026-01-13T03:00:00,5
p67,t12,u22,2026-01-15T01:00:00,4
p68,t57,u2,2026-01-14T23:00:00,5
p69,t3,u9,2026-01-14T15:00:00,3
p70,t35,u22,2026-01-20T07:00:00,1
p71,t17,u29,2026-01-11T01:00:00,5
p72,t9,u25,2026-01-18T13:00:00,5
p73,t41,u14,2026-01-12T19:00:00,5
p74,t15,u3,2026-01-14T20:00:00,2
p75,t10,u17,2026-01-14T20:00:00,2
p76,t31,u8,2026-01-14T13:00:00,4
p77,t33,u17,2026-01-10T18:00:00,5
p78,t10,u6,2026-01-11T09:00:00,1
p79,t40,u14,2026-01-13T05:00:00,2
p80,t12,u18,2026-01-17T10:00:00,2
